API,Name,Well Type - Aliased,Status - Aliased,Wellbore Profile - Aliased,First Production Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Lateral Length,Spud Date
42-301-32426-0000,THRESHER 55-1-12 UNIT A 15H,PERMIT,OPEN SHUT IN,HORIZONTAL,4/1/2018,9091,13875,0,31.98139572,-103.7101746,9087.05957,1/31/2018
42-301-32427-0000,THRESHER 55-1-12 UNIT A 16H,OIL,Active,HORIZONTAL,4/1/2018,9091,13875,0,31.98139381,-103.710083,9079.295898,2/11/2018
42-301-32937-0000,UNIVERSITY 20 PW UNIT 2003H,OIL,Active,HORIZONTAL,4/1/2018,833113,988451,0,31.68688774,-103.3352966,8038,12/18/2017
42-301-32973-0000,WAR ADMIRAL 28-4 UNIT D 1H 1H,OIL,Active,HORIZONTAL,9/1/2018,228666,318442,0,31.84419441,-103.3725891,11127.96973,7/12/2018
42-301-32972-0000,GINGER 29 2H,OIL,Active,HORIZONTAL,6/1/2018,38844,94464,420032,31.77046585,-103.4829559,5399.687012,4/19/2018
42-301-33010-0000,RAYMORE 1-46 STATE UNIT 4 1H,OIL,Active,HORIZONTAL,8/1/2018,45906,85056,279230,31.6721344,-103.4922333,5411.445801,5/16/2018
42-301-33119-0000,ST. LUCIA 76 2833 21H,OIL,Active,HORIZONTAL,11/1/2018,194647,261047,504173,31.94273186,-103.5596695,10957.94727,12/5/2017
42-301-33150-0000,ST. LUCIA 76 2833 13H,OIL,Active,HORIZONTAL,5/1/2018,57395.25,289474,153608,31.94212914,-103.5628357,10779.98242,3/9/2018
42-301-33149-0000,NOAH BRUNSON B UNIT 4H,OIL,Active,HORIZONTAL,7/1/2018,159909,269781,362410,31.97447777,-103.4637833,9876.291992,12/21/2017
42-301-33121-0000,ANGELINA 55-2-29 LOV 1D,INJECTION,Active,DIRECTIONAL,,,,,31.81368446,-103.7740402,546,12/23/2017
42-301-33146-0000,NOAH BRUNSON A UNIT 4H,OIL,Active,HORIZONTAL,7/1/2018,148659,258800,342508,31.97317314,-103.468544,10276.7168,1/5/2018
42-301-33147-0000,NOAH BRUNSON A UNIT 5H,OIL,Active,HORIZONTAL,7/1/2018,177990,301913,402650,31.97320366,-103.4684448,10090.79297,1/4/2018
42-301-33148-0000,NOAH BRUNSON B UNIT 3H,OIL,Active,HORIZONTAL,7/1/2018,200798,328657,552399,31.97450829,-103.4636765,9674.533203,12/19/2017
42-301-33120-0000,ST. LUCIA 76 2833 12H,OIL,Active,HORIZONTAL,12/1/2018,148976,194369,396975,31.94273186,-103.5597687,10964.59863,12/5/2017
42-301-33145-0000,NOAH BRUNSON A UNIT 3H,OIL,Active,HORIZONTAL,7/1/2018,187512,336008,423948,31.97314262,-103.4686584,10495.35059,1/7/2018
