API,Completion Date,Well Number,Upper Perf,Lower Perf,Formation,operator 
42-301-32937-0000,9/18/2016,2003H,0,0,WOLFCAMP,SHELL WESTERN E&P
42-301-32937-0000,12/18/2017,2003H,0,0,WOLFCAMP,SHELL WESTERN E&amp;P
42-301-32937-0000,3/9/2018,2003ST,11812,19508,WOLFCAMP,SHELL WESTERN E&P
42-301-32973-0000,9/21/2018,1H,12689,22769,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-32972-0000,6/29/2018,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-32972-0000,6/29/2018,2H,12116,16544,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33119-0000,6/4/2018,21H,0,0,WOLFCAMP,XTO ENERGY INC.
42-301-33149-0000,7/20/2018,4H,12973,21656,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33147-0000,7/22/2018,5H,12908,22551,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33165-0000,5/23/2018,2H,12534,22061,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33145-0000,7/22/2018,3H,12948,22669,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33010-0000,8/15/2018,1H,12251,16763,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33353-0000,5/28/2018,1903H,11891,23007,WOLFCAMP,SHELL WESTERN E&P
42-301-33443-0000,6/27/2018,1411H,12650,18937,WOLFCAMP,COG OPERATING LLC
42-301-33356-0000,5/22/2017,,0,0,WOLFCAMP,SHELL WESTERN E&amp;P
42-301-33356-0000,5/31/2018,1904H,11606,20709,WOLFCAMP,SHELL WESTERN E&P
42-301-33462-0000,9/13/2018,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33462-0000,9/13/2018,2H,11298,16014,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33431-0000,3/16/2018,2HR,12068,21694,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33521-0000,10/29/2018,1H,11768,16485,WOLFCAMP,SHELL WESTERN E&P
42-301-33564-0000,11/16/2018,2H,11995,16810,WOLFCAMP,SHELL WESTERN E&P
42-301-33491-0000,7/17/2018,1H,11981,19006,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33605-0000,4/23/2018,2H,0,0,WOLFCAMP,SHELL WESTERN E&P
42-301-33563-0000,11/16/2018,1H,11967,16785,WOLFCAMP,SHELL WESTERN E&P
42-301-33565-0000,11/16/2018,3H,11818,16768,WOLFCAMP,SHELL WESTERN E&P
42-301-33566-0000,11/16/2018,4H,12058,16902,WOLFCAMP,SHELL WESTERN E&P
42-301-33631-0000,9/2/2018,4H,11392,21604,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33632-0000,9/4/2018,5H,11385,19027,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33634-0000,9/3/2018,7H,11325,19191,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33630-0000,8/30/2018,3H,11441,21662,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33699-0000,10/11/2018,5H,12445,23086,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33708-0000,8/21/2018,2H,11751,21872,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33633-0000,9/4/2018,6H,11380,19153,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33703-0000,12/13/2018,2H,12768,23335,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33701-0000,11/30/2018,10H,12474,22085,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33700-0000,12/15/2018,6H,12835,23427,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33734-0000,1/23/2018,4H,0,0,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33732-0000,2/4/2018,3H,0,0,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33704-0000,12/19/2018,3H,12357,23182,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33677-0000,4/30/2018,207H,10887,17810,WOLFCAMP,MATADOR PRODUCTION COMPANY
42-301-33725-0000,1/27/2018,10H,0,0,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33724-0000,5/30/2018,1323H,13029,17999,WOLFCAMP,COG OPERATING LLC
42-301-33753-0000,4/11/2018,1H,0,0,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33801-0000,11/22/2018,3H,11206,16056,WOLFCAMP,SHELL WESTERN E&P
42-301-33750-0000,8/2/2018,1H,0,0,WOLFCAMP,SHELL WESTERN E&P
42-301-33807-0000,8/18/2018,1H,12582,17364,WOLFCAMP,SHELL WESTERN E&P
42-301-33802-0000,11/22/2018,4H,11505,16329,WOLFCAMP,SHELL WESTERN E&P
42-301-33800-0000,11/19/2018,2H,11338,16206,WOLFCAMP,SHELL WESTERN E&P
42-301-33812-0000,8/12/2018,2SR,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33812-0000,9/28/2018,2SR,12808,18862,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33812-0000,8/12/2018,2SR,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33799-0000,11/18/2018,1H,11323,16150,WOLFCAMP,SHELL WESTERN E&P
42-301-33795-0000,9/18/2018,2H,11606,20849,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33814-0000,1/13/2019,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33813-0000,8/10/2018,W101CN,11238,15785,WOLFCAMP,MEWBOURNE OIL COMPANY
42-301-33793-0000,12/4/2018,B002,11603,16459,WOLFCAMP,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33791-0000,9/13/2018,3H,12814,22907,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33815-0000,9/15/2018,1H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33815-0000,1/8/2019,1H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33815-0000,9/15/2018,1H,11036,21160,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33749-0000,8/2/2018,1H,0,0,WOLFCAMP,SHELL WESTERN E&P
42-301-33780-0000,9/13/2018,12H,0,0,WOLFCAMP,XTO ENERGY INC.
42-301-33151-0000,7/8/2018,2H,0,0,WOLFCAMP,XTO ENERGY INC.
42-301-33151-0000,12/1/2018,2H,0,0,WOLFCAMP,XTO ENERGY INC.
42-301-33830-0000,7/31/2018,601H,11040,20642,WOLFCAMP,ENERGEN RESOURCES CORPORATION
42-301-33850-0000,5/25/2018,8H,12907,22790,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33841-0000,9/15/2018,3H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33841-0000,9/15/2018,3H,11101,21221,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33853-0000,5/31/2018,11H,12702,22681,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33827-0000,7/23/2018,13H,12168,19096,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33828-0000,7/9/2018,4H,12250,16752,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33829-0000,8/10/2018,W102CN,11346,15970,WOLFCAMP,MEWBOURNE OIL COMPANY
42-301-33843-0000,9/26/2018,5H,11087,21191,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33843-0000,1/10/2019,5H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33843-0000,9/26/2018,5H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC"
42-301-33852-0000,5/31/2018,10H,12849,22828,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33152-0000,8/19/2018,32H,0,0,WOLFCAMP,XTO ENERGY INC.
42-301-33823-0000,3/11/2018,1WX,0,0,WOLFCAMP,OASIS PETROLEUM PERMIAN LLC
42-301-33825-0000,6/9/2018,1H,11969,18794,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33851-0000,5/25/2018,9H,12744,22627,WOLFCAMP,"EOG RESOURCES, INC."
42-301-33617-0000,4/27/2018,1H,12148,22081,WOLFCAMP,ANADARKO E&P ONSHORE LLC
42-301-33153-0000,12/16/2018,22H,12350,22337,WOLFCAMP,XTO ENERGY INC.
