API,CUM BOE
42-301-33901-0000,191152.1719
42-301-33754-0000,213379.1672
42-301-33606-0000,313277.834
42-301-33943-0000,148009.6621
42-301-33520-0000,
42-301-34122-0000,12102.83301
42-301-34129-0000,
42-301-34078-0000,
42-301-34197-0000,
42-301-33165-0000,346267.8374
42-301-34033-0000,
42-301-34054-0000,
42-301-33734-0000,
42-301-34235-0000,
42-301-34126-0000,14965.16663
42-301-34137-0000,
42-301-33971-0000,10321.16699
42-301-33817-0000,184877.4961
42-301-33830-0000,233674.4987
42-301-33899-0000,
42-301-33886-0000,141191.5
42-301-34229-0000,
42-301-34163-0000,
42-301-33850-0000,220514.835
42-301-33853-0000,291640.514
42-301-33730-0000,180170.334
42-301-33909-0000,249728.332
42-301-33961-0000,
42-301-33876-0000,
42-301-33841-0000,529245.3359
42-301-34094-0000,26093.33398
42-301-34117-0000,
42-301-34115-0000,
42-301-34073-0000,
42-301-34072-0000,28790.5
42-301-33531-0000,191506.9961
42-301-33699-0000,401025.3672
42-301-33936-0000,25332
42-301-33605-0000,
42-301-34277-0000,
42-301-33849-0000,
42-301-33485-0000,266068.159
42-301-34147-0000,
42-301-34198-0000,
42-301-33119-0000,238154.8413
42-301-33929-0000,141843.1699
42-301-33740-0000,233108.502
42-301-33890-0000,
42-301-33973-0000,51361.50049
42-301-34143-0000,
42-301-33735-0000,112784.0732
42-301-33443-0000,96252.26947
42-301-33970-0000,26321.16602
42-301-33790-0000,103925.833
42-301-33940-0000,163318
42-301-34059-0000,
42-301-33710-0000,166149
42-301-33756-0000,229374.6699
42-301-33801-0000,
42-301-33796-0000,
42-301-34034-0000,
42-301-33900-0000,
42-301-33563-0000,
42-301-33400-0000,128487.6641
42-301-34210-0000,
42-301-33657-0000,
42-301-32426-0000,11403.50012
42-301-33939-0000,140441.3398
42-301-33858-0000,84188.1665
42-301-33732-0000,
42-301-34128-0000,
42-301-33785-0000,
42-301-33847-0000,127779.1665
42-301-34095-0000,28235.1665
42-301-33168-0000,459247.4512
42-301-33150-0000,105640.9153
42-301-33885-0000,26765.99963
42-301-33265-0000,
42-301-33867-0000,
42-301-33807-0000,52782.5
