API,Completion_Date,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,Drilling_Type,Field,First_Month_Gas,First_Month_Oil,First_Production_Day,Gas_Gravity,Last_Flow_Pressure,Last_Test_Date,Lat,Lateral Length,Lease_Name,Long,Lower_Perforation,Months_Produced,Oil_Gravity,Operator,Peak_BOE,Peak_Gas,Peak_Oil,Perforated_Interval_Length,Production_Status,Production_type,Reservoir,Section,Spud_Date,TD,Upper_Perforation,Well_Number
4230133173,,9292.0,22456.0,5549.0,724.0,179.0,H,PHANTOM,22456.0,5549.0,7/1/2017,,,,31.8261575,,SAVAGE 54-2-22 UNIT,-103.64376290000001,,1.0,,"ANADARKO E&P ONSHORE, LLC",9292.0,22456.0,5549.0,,ACTIVE,OIL,WOLFCAMP,,3/27/2017,12100.0,,1H
4230133308,,559.0,72.0,547.0,2.0,18.0,H,PHANTOM,72.0,547.0,7/1/2017,,,,31.9996054,,ZUMA 3 57-T1-3X10,-103.9410792,,1.0,,MEWBOURNE HOLDINGS INC,559.0,72.0,547.0,,ACTIVE,OIL,WOLFCAMP,,5/8/2017,20470.0,,W102AP
4230133208,,33618.0,74305.0,21234.0,2397.0,685.0,H,PHANTOM,74305.0,21234.0,7/1/2017,,,,31.8389673,,LINK VJ RANCH 23-11B,-103.7354666,,1.0,,EOG RESOURCES INCORPORATED,33618.0,74305.0,21234.0,,ACTIVE,OIL,WOLFCAMP,,4/8/2017,14000.0,,2H
4230133057,,26351.0,40193.0,19652.0,659.0,322.0,H,PHANTOM,5898.0,2156.0,5/1/2017,,,,31.943227399999998,,BOYD 11 101H,-103.3544561,,2.0,,DEVON ENERGY CORPORATION,23212.0,34295.0,17496.0,,ACTIVE,OIL,WOLFCAMP,,1/22/2017,17570.0,,101H
4230133056,,23117.0,43538.0,15861.0,1404.0,512.0,H,SANDBAR,43538.0,15861.0,7/1/2017,,,,31.9557756,,TXL 19,-103.9053765,,1.0,,MEWBOURNE HOLDINGS INC,23117.0,43538.0,15861.0,,ACTIVE,OIL,BONE SPRING,,4/24/2017,14375.0,,H301DM
4230133207,,28407.0,60359.0,18347.0,1947.0,592.0,H,PHANTOM,60359.0,18347.0,7/1/2017,,,,31.8320974,,LINK VJ RANCH 11-14,-103.7344663,,1.0,,EOG RESOURCES INCORPORATED,28407.0,60359.0,18347.0,,ACTIVE,OIL,WOLFCAMP,,3/14/2017,14000.0,,1H
4230133247,,11526.0,511.0,11441.0,16.0,369.0,H,PHANTOM,511.0,11441.0,7/1/2017,,,,31.931906899999994,,LUDEMAN I,-103.42405790000001,,1.0,,RS3 SERVICES,11526.0,511.0,11441.0,,ACTIVE,OIL,WOLFCAMP,,3/29/2017,14000.0,,0
4230133246,,20728.0,396.0,20662.0,13.0,667.0,H,SANDBAR,396.0,20662.0,7/1/2017,,,,31.9319369,,LUDEMAN I,-103.4238579,,1.0,,"RSP INVESTMENTS, INC.",20728.0,396.0,20662.0,,ACTIVE,OIL,BONE SPRING,,3/28/2017,14000.0,,0
4230133081,,135907.0,183050.0,105399.0,3001.0,1728.0,H,PHANTOM,101206.0,61267.0,6/1/2017,,,,31.9112865,,WHITNEY BRUNSON UNIT,-103.5287607,,2.0,,EOG RESOURCES INCORPORATED,78135.0,101206.0,61267.0,,ACTIVE,OIL,WOLFCAMP,,2/21/2017,14000.0,,3H
4230133184,,121904.0,166914.0,94085.0,2736.0,1542.0,H,PHANTOM,73619.0,43086.0,6/1/2017,,,,31.911296500000002,,WHITNEY BRUNSON UNIT,-103.52546059999999,,2.0,,EOG RESOURCES INCORPORATED,66548.0,93295.0,50999.0,,ACTIVE,OIL,WOLFCAMP,,2/23/2017,14000.0,,5H
4230133143,,120597.0,156638.0,94491.0,2568.0,1549.0,H,PHANTOM,81573.0,50987.0,6/1/2017,,,,31.911296500000002,,WHITNEY BRUNSON UNIT,-103.52556059999999,,2.0,,EOG RESOURCES INCORPORATED,64583.0,81573.0,50987.0,,ACTIVE,OIL,WOLFCAMP,,12/30/2016,14000.0,,4H
4230133179,,52610.0,61793.0,42311.0,1013.0,694.0,H,PHANTOM,20236.0,12842.0,6/1/2017,,,,31.9662865,,PISTOL 25-9,-103.434759,,2.0,,"RSP PERMIAN, LLC",36395.0,41557.0,29469.0,,ACTIVE,OIL,WOLFCAMP,,1/28/2017,13500.0,,0
4230133080,,180604.0,237418.0,141034.0,3892.0,2312.0,H,PHANTOM,108853.0,67876.0,6/1/2017,,,,31.9112865,,WHITNEY BRUNSON UNIT,-103.5286607,,2.0,,EOG RESOURCES INCORPORATED,94586.0,128565.0,73158.0,,ACTIVE,OIL,WOLFCAMP,,12/26/2016,14000.0,,2H
4230133139,,86705.0,145026.0,62534.0,1576.0,680.0,H,SANDBAR,61697.0,28126.0,5/1/2017,,,,31.984955600000003,,ST PATHFINDER,-103.6280663,,3.0,,EOG RESOURCES INCORPORATED,38409.0,61697.0,28126.0,,ACTIVE,OIL,BONE SPRING,,1/3/2017,14000.0,,09H
4230132811,,93420.0,176536.0,63997.0,1919.0,696.0,H,SANDBAR,47256.0,22193.0,5/1/2017,,,,31.9862756,,ST PATHFINDER,-103.6265663,,3.0,,EOG RESOURCES INCORPORATED,34363.0,64855.0,23554.0,,ACTIVE,OIL,BONE SPRING,,1/2/2017,14000.0,,14H
