,Name,Api,Field - Aliased,County,Status - Aliased,Well Type - Aliased,First Production Date,Spud Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Latitude,Longitude,Lateral Length,Completion Date,Lease,Current Operator - Reported,field reported,well type-reported,wellbore profile reported,Original Operator - Aliased,Wellbore Profile - Aliased
,THRESHER 55-1-12 UNIT A 15H,42-301-32426-0000,PHANTOM (WOLFCAMP),LOVING,OPEN SHUT IN,PERMIT,4/1/2018,1/31/2018,9091,13875,0,31.98139572,-103.7101746,31.98139572,-103.7101746,9087.05957,Sun Mar 18 2018 00:00:00 GMT-0500 (Central Daylight Time),08-46825 : THRESHER 55-1-12 UNIT A,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,THRESHER 55-1-12 UNIT A 16H,42-301-32427-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,4/1/2018,2/11/2018,9091,13875,0,31.98139381,-103.710083,31.98139381,-103.710083,9079.295898,Mon Mar 05 2018 00:00:00 GMT-0600 (Central Standard Time),08-46825 : THRESHER 55-1-12 UNIT A,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,UNIVERSITY 20 PW UNIT 2003H,42-301-32937-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,4/1/2018,12/18/2017,833113,988451,0,31.68688774,-103.3352966,31.68688774,-103.3352966,8038,Fri Mar 09 2018 00:00:00 GMT-0600 (Central Standard Time),08-44020 : UNIVERSITY 20 PW UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,WAR ADMIRAL 28-4 UNIT D 1H 1H,42-301-32973-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,9/1/2018,7/12/2018,228666,318442,0,31.84419441,-103.3725891,31.84419441,-103.3725891,11127.96973,Fri Sep 21 2018 00:00:00 GMT-0500 (Central Daylight Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,GINGER 29 2H,42-301-32972-0000,HALEY (LWR. WOLFCAMP-PENN CONS.),LOVING,Active,OIL,6/1/2018,4/19/2018,38844,94464,420032,31.77046585,-103.4829559,31.77046585,-103.4829559,5399.687012,Fri Jun 29 2018 00:00:00 GMT-0500 (Central Daylight Time),08-48395 : GINGER 29,"WPX ENERGY PERMIAN, LLC",HALEY,OIL,HORIZONTAL,"PANTHER EXPLORATION, LLC",HORIZONTAL
?,RAYMORE 1-46 STATE UNIT 4 1H,42-301-33010-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,8/1/2018,5/16/2018,45906,85056,279230,31.6721344,-103.4922333,31.6721344,-103.4922333,5411.445801,Wed Aug 15 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50981 : RAYMORE 1-46 STATE UNIT 4,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,ST. LUCIA 76 2833 21H,42-301-33119-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,11/1/2018,12/5/2017,194647,261047,504173,31.94273186,-103.5596695,31.94273186,-103.5596695,10957.94727,Thu Nov 08 2018 00:00:00 GMT-0600 (Central Standard Time),08-48657 : ST. LUCIA 76 2833,XTO ENERGY INC.,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,XTO ENERGY INC.,HORIZONTAL
?,ST. LUCIA 76 2833 13H,42-301-33150-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,5/1/2018,3/9/2018,57395.25,289474,153608,31.94212914,-103.5628357,31.94212914,-103.5628357,10779.98242,Mon May 07 2018 00:00:00 GMT-0500 (Central Daylight Time),08-48657 : ST. LUCIA 76 2833,XTO ENERGY INC.,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,XTO ENERGY INC.,HORIZONTAL
?,NOAH BRUNSON B UNIT 4H,42-301-33149-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,7/1/2018,12/21/2017,159909,269781,362410,31.97447777,-103.4637833,31.97447777,-103.4637833,9876.291992,Fri Jul 20 2018 00:00:00 GMT-0500 (Central Daylight Time),08-47641 : NOAH BRUNSON B UNIT,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,ANGELINA 55-2-29 LOV 1D,42-301-33121-0000,"TUNSTILL, EAST (DELAWARE)",LOVING,Active,INJECTION,,12/23/2017,,,,31.81368446,-103.7740402,31.81368446,-103.7740402,546,Tue Jan 02 2018 00:00:00 GMT-0600 (Central Standard Time),08-49839 : ANGELINA 55-2-29 LOV,SHELL WESTERN E&P,"TUNSTILL, EAST (DELAWARE)",,DIRECTIONAL,SHELL OIL COMPANY,DIRECTIONAL
