,API,Block,Completion_Date,Cum_BOE,Cum_Gas,Cum_Oil,Cum_water,Daily_Gas,Daily_Oil,Drilling_Type,Field,First_Month_Gas,First_Month_Oil,First_Production_Day,Gas_Gravity,Last_Flow_Pressure,Last_Test_Date,Lat,Lateral Length,Lease_Name,Long,Lower_Perforation,Months_Produced,Oil_Gravity,Operator,Peak_BOE,Peak_Gas,Peak_Oil,Perforated_Interval_Length,Production_Status,Production_Type,Production_type,Reservoir,STATUS,Section,Spud_Date,TD,TVD,Upper_Perforation,Well_Count,Well_Number,operator ,well profile 
0,4230133173,,,9292.0,22456.0,5549.0,,724.0,179.0,H,PHANTOM,22456.0,5549.0,7/1/2017,,,,31.8261575,,SAVAGE 54-2-22 UNIT,-103.64376290000001,,1.0,,"ANADARKO E&P ONSHORE, LLC",9292.0,22456.0,5549.0,,ACTIVE,,OIL,WOLFCAMP,,,3/27/2017,12100.0,,,1.0,1H,,
1,4230133308,,,559.0,72.0,547.0,,2.0,18.0,H,PHANTOM,72.0,547.0,7/1/2017,,,,31.9996054,,ZUMA 3 57-T1-3X10,-103.9410792,,1.0,,MEWBOURNE HOLDINGS INC,559.0,72.0,547.0,,ACTIVE,,OIL,WOLFCAMP,,,5/8/2017,20470.0,,,1.0,W102AP,,
2,4230133208,,,33618.0,74305.0,21234.0,,2397.0,685.0,H,PHANTOM,74305.0,21234.0,7/1/2017,,,,31.8389673,,LINK VJ RANCH 23-11B,-103.7354666,,1.0,,EOG RESOURCES INCORPORATED,33618.0,74305.0,21234.0,,ACTIVE,,OIL,WOLFCAMP,,,4/8/2017,14000.0,,,1.0,2H,,
3,4230133057,,,26351.0,40193.0,19652.0,,659.0,322.0,H,PHANTOM,5898.0,2156.0,5/1/2017,,,,31.943227399999998,,BOYD 11 101H,-103.3544561,,2.0,,DEVON ENERGY CORPORATION,23212.0,34295.0,17496.0,,ACTIVE,,OIL,WOLFCAMP,,,1/22/2017,17570.0,,,1.0,101H,,
4,4230133056,,,23117.0,43538.0,15861.0,,1404.0,512.0,H,SANDBAR,43538.0,15861.0,7/1/2017,,,,31.9557756,,TXL 19,-103.9053765,,1.0,,MEWBOURNE HOLDINGS INC,23117.0,43538.0,15861.0,,ACTIVE,,OIL,BONE SPRING,,,4/24/2017,14375.0,,,1.0,H301DM,,
5,4230133207,,,28407.0,60359.0,18347.0,,1947.0,592.0,H,PHANTOM,60359.0,18347.0,7/1/2017,,,,31.8320974,,LINK VJ RANCH 11-14,-103.7344663,,1.0,,EOG RESOURCES INCORPORATED,28407.0,60359.0,18347.0,,ACTIVE,,OIL,WOLFCAMP,,,3/14/2017,14000.0,,,1.0,1H,,
6,4230133247,,,11526.0,511.0,11441.0,,16.0,369.0,H,PHANTOM,511.0,11441.0,7/1/2017,,,,31.931906899999994,,LUDEMAN I,-103.42405790000001,,1.0,,RS3 SERVICES,11526.0,511.0,11441.0,,ACTIVE,,OIL,WOLFCAMP,,,3/29/2017,14000.0,,,1.0,0,,
7,4230133246,,,20728.0,396.0,20662.0,,13.0,667.0,H,SANDBAR,396.0,20662.0,7/1/2017,,,,31.9319369,,LUDEMAN I,-103.4238579,,1.0,,"RSP INVESTMENTS, INC.",20728.0,396.0,20662.0,,ACTIVE,,OIL,BONE SPRING,,,3/28/2017,14000.0,,,1.0,0,,
8,4230133081,,,135907.0,183050.0,105399.0,,3001.0,1728.0,H,PHANTOM,101206.0,61267.0,6/1/2017,,,,31.9112865,,WHITNEY BRUNSON UNIT,-103.5287607,,2.0,,EOG RESOURCES INCORPORATED,78135.0,101206.0,61267.0,,ACTIVE,,OIL,WOLFCAMP,,,2/21/2017,14000.0,,,1.0,3H,,
9,4230133184,,,121904.0,166914.0,94085.0,,2736.0,1542.0,H,PHANTOM,73619.0,43086.0,6/1/2017,,,,31.911296500000002,,WHITNEY BRUNSON UNIT,-103.52546059999999,,2.0,,EOG RESOURCES INCORPORATED,66548.0,93295.0,50999.0,,ACTIVE,,OIL,WOLFCAMP,,,2/23/2017,14000.0,,,1.0,5H,,
10,4230133143,,,120597.0,156638.0,94491.0,,2568.0,1549.0,H,PHANTOM,81573.0,50987.0,6/1/2017,,,,31.911296500000002,,WHITNEY BRUNSON UNIT,-103.52556059999999,,2.0,,EOG RESOURCES INCORPORATED,64583.0,81573.0,50987.0,,ACTIVE,,OIL,WOLFCAMP,,,12/30/2016,14000.0,,,1.0,4H,,
11,4230133179,,,52610.0,61793.0,42311.0,,1013.0,694.0,H,PHANTOM,20236.0,12842.0,6/1/2017,,,,31.9662865,,PISTOL 25-9,-103.434759,,2.0,,"RSP PERMIAN, LLC",36395.0,41557.0,29469.0,,ACTIVE,,OIL,WOLFCAMP,,,1/28/2017,13500.0,,,1.0,0,,
12,4230133080,,,180604.0,237418.0,141034.0,,3892.0,2312.0,H,PHANTOM,108853.0,67876.0,6/1/2017,,,,31.9112865,,WHITNEY BRUNSON UNIT,-103.5286607,,2.0,,EOG RESOURCES INCORPORATED,94586.0,128565.0,73158.0,,ACTIVE,,OIL,WOLFCAMP,,,12/26/2016,14000.0,,,1.0,2H,,
13,4230133139,,,86705.0,145026.0,62534.0,,1576.0,680.0,H,SANDBAR,61697.0,28126.0,5/1/2017,,,,31.984955600000003,,ST PATHFINDER,-103.6280663,,3.0,,EOG RESOURCES INCORPORATED,38409.0,61697.0,28126.0,,ACTIVE,,OIL,BONE SPRING,,,1/3/2017,14000.0,,,1.0,09H,,
14,4230132811,,,93420.0,176536.0,63997.0,,1919.0,696.0,H,SANDBAR,47256.0,22193.0,5/1/2017,,,,31.9862756,,ST PATHFINDER,-103.6265663,,3.0,,EOG RESOURCES INCORPORATED,34363.0,64855.0,23554.0,,ACTIVE,,OIL,BONE SPRING,,,1/2/2017,14000.0,,,1.0,14H,,
15,4230133197,,,100124.0,172967.0,71296.0,,1880.0,775.0,H,PHANTOM,28102.0,11602.0,5/1/2017,,,,31.999275399999995,,STATE PATHFINDER 7,-103.62246640000001,,3.0,,EOG RESOURCES INCORPORATED,55460.0,94824.0,39656.0,,ACTIVE,,OIL,WOLFCAMP,,,3/17/2017,14000.0,,,1.0,22H,,
16,4230133187,,,119550.0,201767.0,85922.0,,2193.0,934.0,H,PHANTOM,51152.0,23435.0,5/1/2017,,,,31.999275399999995,,STATE PATHFINDER 7,-103.6256666,,3.0,,EOG RESOURCES INCORPORATED,62314.0,106267.0,44603.0,,ACTIVE,,OIL,WOLFCAMP,,,2/23/2017,14000.0,,,1.0,24H,,
17,4230133129,,,15982.0,55116.0,6796.0,,1837.0,227.0,H,TWO GEORGES,55116.0,6796.0,6/1/2017,,,,31.6679696,,ARNO 78-TTT-B33 WF,-103.60775859999998,,1.0,,MATADOR PRODUCTION COMPANY,15982.0,55116.0,6796.0,,ACTIVE,,OIL,BONE SPRING,,,1/16/2017,10500.0,,,1.0,122H,,
18,4230133169,,,91275.0,202256.0,57566.0,,2198.0,626.0,H,SANDBAR,45648.0,13164.0,5/1/2017,,,,31.9122461,,TXL 39,-103.8544733,,3.0,,MEWBOURNE HOLDINGS INC,41594.0,92392.0,26195.0,,ACTIVE,,OIL,BONE SPRING,,,2/13/2017,14285.0,,,1.0,H301DM,,
19,4230133138,,,98098.0,156642.0,71991.0,,1703.0,783.0,H,SANDBAR,69157.0,33298.0,5/1/2017,,,,31.984955600000003,,ST PATHFINDER,-103.62816629999999,,3.0,,EOG RESOURCES INCORPORATED,44824.0,69157.0,33298.0,,ACTIVE,,OIL,BONE SPRING,,,2/13/2017,14000.0,,,1.0,08H,,
20,4230133160,,,104028.0,139657.0,80752.0,,1518.0,878.0,H,PHANTOM,27148.0,11268.0,5/1/2017,,,,31.9364773,,LUDEMAN K,-103.3722564,,3.0,,"RSP PERMIAN, LLC",50158.0,57424.0,40587.0,,ACTIVE,,OIL,WOLFCAMP,,,3/8/2017,13500.0,,,1.0,0,,
21,4230132796,,,41784.0,53047.0,32943.0,,577.0,358.0,H,PHANTOM,21564.0,13529.0,5/1/2017,,,,31.972076,,NOAH BRUNSON A,-103.4724603,,3.0,,EOG RESOURCES INCORPORATED,17123.0,21564.0,13529.0,,ACTIVE,,OIL,WOLFCAMP,,,12/7/2015,17659.0,,,1.0,2H,,
